ISIC_id,ISIC_id_paired,partition
ISIC_0554819,ISIC_8315094,test
ISIC_0557285,ISIC_3256190,test
ISIC_0558485,ISIC_8195031,train
ISIC_0559101,ISIC_1437807,test
ISIC_0573666,ISIC_1702152,train
ISIC_0586680,ISIC_2828001,train
ISIC_0586782,ISIC_8732572,train
ISIC_0589744,ISIC_4939916,train
ISIC_0596499,ISIC_8209167,test
ISIC_0604088,ISIC_6346327,train
ISIC_0608625,ISIC_2329149,train
ISIC_0614271,ISIC_6551180,train
ISIC_0631039,ISIC_8668157,test
ISIC_0635396,ISIC_3555756,test
ISIC_0641973,ISIC_4279689,train
ISIC_0658225,ISIC_6907218,train
ISIC_0659540,ISIC_3301909,train
ISIC_0674769,ISIC_4720030,test
ISIC_0675028,ISIC_5819728,train
ISIC_0680210,ISIC_7984646,train
ISIC_0694559,ISIC_2210577,train
ISIC_0704435,ISIC_2735323,test
ISIC_0720915,ISIC_9005542,train
ISIC_0721819,ISIC_8317513,train
ISIC_0723505,ISIC_9012331,train
ISIC_0733140,ISIC_3173348,train
ISIC_0735344,ISIC_9174152,test
ISIC_0754561,ISIC_8379578,train
ISIC_0758009,ISIC_6892485,train
ISIC_0761049,ISIC_3046930,train
ISIC_0762091,ISIC_4364994,test
ISIC_0786170,ISIC_9551410,train
ISIC_0789732,ISIC_8303710,train
ISIC_0822116,ISIC_7140537,train
ISIC_0825113,ISIC_4390848,train
ISIC_0856856,ISIC_2000346,train
ISIC_0873114,ISIC_8773962,train
ISIC_0873571,ISIC_3058615,train
ISIC_0876992,ISIC_4514446,train
ISIC_0878793,ISIC_7160845,train
ISIC_0884576,ISIC_9403292,train
ISIC_0904702,ISIC_4223719,test
ISIC_0919271,ISIC_1918077,train
ISIC_0924293,ISIC_6844611,test
ISIC_0936437,ISIC_9948221,test
ISIC_0956562,ISIC_4528262,train
ISIC_0981657,ISIC_7109227,train
ISIC_0983569,ISIC_1876409,train
ISIC_1003703,ISIC_8792040,train
ISIC_1011754,ISIC_6892199,train
ISIC_1017015,ISIC_5743527,train
ISIC_1020608,ISIC_9740764,train
ISIC_1021883,ISIC_9651608,train
ISIC_1026239,ISIC_6233631,train
ISIC_1026838,ISIC_4907927,test
ISIC_1062359,ISIC_1514098,train
ISIC_1087367,ISIC_3695494,train
ISIC_1087658,ISIC_7102070,train
ISIC_1091253,ISIC_9325527,train
ISIC_1096503,ISIC_2977718,train
ISIC_1104762,ISIC_6691662,train
ISIC_1115450,ISIC_6901140,test
ISIC_1122727,ISIC_6968835,train
ISIC_1142863,ISIC_9656943,test
ISIC_1171499,ISIC_2485658,test
ISIC_1174073,ISIC_4003722,train
ISIC_1182624,ISIC_2037182,train
ISIC_1188141,ISIC_6351451,train
ISIC_1196752,ISIC_9750885,train
ISIC_1199920,ISIC_1971370,train
ISIC_1200790,ISIC_8849520,train
ISIC_1224295,ISIC_7111646,train
ISIC_1240474,ISIC_2234584,test
ISIC_1245414,ISIC_8686962,train
ISIC_1252029,ISIC_2735754,train
ISIC_1252797,ISIC_2744850,train
ISIC_1252871,ISIC_2380958,train
ISIC_1264914,ISIC_2541572,train
ISIC_1270351,ISIC_7205493,train
ISIC_1270937,ISIC_8748932,test
ISIC_1277620,ISIC_6708074,train
ISIC_1300006,ISIC_9126974,train
ISIC_1301591,ISIC_8645633,train
ISIC_1302264,ISIC_1450273,train
ISIC_1308177,ISIC_4069633,train
ISIC_1309015,ISIC_8170849,train
ISIC_1312208,ISIC_2749059,train
ISIC_1323427,ISIC_6051951,train
ISIC_1323471,ISIC_6140773,train
ISIC_1350659,ISIC_8194371,train
ISIC_1358757,ISIC_4608323,train
ISIC_1370034,ISIC_8066993,train
ISIC_1376528,ISIC_1976244,train
ISIC_1388230,ISIC_7713545,train
ISIC_1388984,ISIC_7343798,train
ISIC_1392702,ISIC_5006118,train
ISIC_1425639,ISIC_5569800,test
ISIC_1429159,ISIC_9494744,train
ISIC_1435944,ISIC_6284623,train
ISIC_1437627,ISIC_5747282,test
ISIC_1486589,ISIC_5706192,train
ISIC_1487601,ISIC_3728659,train
ISIC_1548638,ISIC_5482648,train
ISIC_1561091,ISIC_5348855,train
ISIC_1570580,ISIC_5889165,train
ISIC_1578998,ISIC_4139260,train
ISIC_1594422,ISIC_2449313,train
ISIC_1595658,ISIC_8720514,train
ISIC_1601244,ISIC_6373822,train
ISIC_1617896,ISIC_3685955,train
ISIC_1621479,ISIC_7472836,train
ISIC_1663074,ISIC_6192610,test
ISIC_1664534,ISIC_4176335,train
ISIC_1670106,ISIC_2467082,train
ISIC_1687584,ISIC_6847965,train
ISIC_1706022,ISIC_9259972,test
ISIC_1747417,ISIC_9308284,train
ISIC_1767420,ISIC_8459547,train
ISIC_1768243,ISIC_6114220,train
ISIC_1798471,ISIC_4761335,train
ISIC_1807638,ISIC_3221265,train
ISIC_1808187,ISIC_2596120,test
ISIC_1813445,ISIC_8679617,train
ISIC_1828652,ISIC_3099012,train
ISIC_1830017,ISIC_2990155,train
ISIC_1836352,ISIC_7165533,train
ISIC_1848959,ISIC_5078133,test
ISIC_1862506,ISIC_2676318,train
ISIC_1864719,ISIC_3052085,train
ISIC_1880757,ISIC_3879233,train
ISIC_1884038,ISIC_8615081,train
ISIC_1899936,ISIC_2901951,train
ISIC_1910158,ISIC_4111637,train
ISIC_1944865,ISIC_5153482,train
ISIC_1946709,ISIC_9086604,train
ISIC_1950045,ISIC_6614779,test
ISIC_1957989,ISIC_8577332,train
ISIC_1979109,ISIC_9933282,train
ISIC_2010700,ISIC_4244870,train
ISIC_2033106,ISIC_8022865,train
ISIC_2064084,ISIC_3858181,train
ISIC_2071774,ISIC_6357263,train
ISIC_2072308,ISIC_8119091,train
ISIC_2079121,ISIC_2934051,train
ISIC_2081142,ISIC_3689759,train
ISIC_2094324,ISIC_6223989,train
ISIC_2122087,ISIC_2974557,train
ISIC_2129639,ISIC_9913667,train
ISIC_2131119,ISIC_9002552,test
ISIC_2138357,ISIC_5097912,train
ISIC_2147342,ISIC_4156689,train
ISIC_2148640,ISIC_5315726,train
ISIC_2155673,ISIC_2948347,train
ISIC_2157630,ISIC_3832239,train
ISIC_2171314,ISIC_5791131,train
ISIC_2190511,ISIC_5198297,test
ISIC_2192031,ISIC_8240408,test
ISIC_2198865,ISIC_2928274,train
ISIC_2200299,ISIC_4874456,test
ISIC_2217550,ISIC_3024903,train
ISIC_2247168,ISIC_7671251,train
ISIC_2258860,ISIC_4261613,test
ISIC_2275821,ISIC_6477752,train
ISIC_2279329,ISIC_6046224,train
ISIC_2280429,ISIC_6326803,train
ISIC_2287083,ISIC_3772694,train
ISIC_2313463,ISIC_3971415,test
ISIC_2315560,ISIC_7365239,train
ISIC_2351242,ISIC_3432199,train
ISIC_2362404,ISIC_8080124,train
ISIC_2365225,ISIC_8152273,train
ISIC_2369986,ISIC_5539025,train
ISIC_2376329,ISIC_3341347,test
ISIC_2377292,ISIC_8174968,train
ISIC_2394733,ISIC_9635083,test
ISIC_2398131,ISIC_3466769,train
ISIC_2402717,ISIC_7517491,train
ISIC_2406262,ISIC_9393085,train
ISIC_2412805,ISIC_8579259,train
ISIC_2462485,ISIC_9800424,train
ISIC_2468035,ISIC_6855256,test
ISIC_2476092,ISIC_3288311,train
ISIC_2490481,ISIC_8373132,train
ISIC_2500008,ISIC_7399986,train
ISIC_2507875,ISIC_8746376,test
ISIC_2526675,ISIC_7743266,train
ISIC_2537370,ISIC_4957778,train
ISIC_2564952,ISIC_4494444,train
ISIC_2568374,ISIC_8206325,train
ISIC_2568903,ISIC_5541445,test
ISIC_2607827,ISIC_9967383,train
ISIC_2613323,ISIC_5134680,train
ISIC_2636012,ISIC_9917477,train
ISIC_2638179,ISIC_3421249,train
ISIC_2645159,ISIC_5503347,train
ISIC_2652786,ISIC_5163257,train
ISIC_2689674,ISIC_5753616,test
ISIC_2722040,ISIC_8753442,test
ISIC_2730170,ISIC_7142856,train
ISIC_2741583,ISIC_4261232,train
ISIC_2746974,ISIC_6627237,train
ISIC_2748736,ISIC_5481688,train
ISIC_2754949,ISIC_5300278,train
ISIC_2757628,ISIC_8284060,test
ISIC_2778131,ISIC_3730764,train
ISIC_2783541,ISIC_4585386,train
ISIC_2783810,ISIC_4945584,train
ISIC_2787700,ISIC_5208963,train
ISIC_2792248,ISIC_9165411,train
ISIC_2817101,ISIC_5185780,test
ISIC_2827098,ISIC_8952594,train
ISIC_2850155,ISIC_8546599,train
ISIC_2853222,ISIC_9348399,train
ISIC_2862111,ISIC_3666478,test
ISIC_2885796,ISIC_9216956,train
ISIC_2890008,ISIC_3761540,test
ISIC_2896341,ISIC_7991946,train
ISIC_2906792,ISIC_9707207,train
ISIC_2939330,ISIC_7844482,train
ISIC_2963172,ISIC_3181638,train
ISIC_2964421,ISIC_8749647,test
ISIC_2969557,ISIC_3420207,train
ISIC_2986014,ISIC_8428997,train
ISIC_2988832,ISIC_3812485,train
ISIC_3004197,ISIC_5859817,test
ISIC_3021496,ISIC_9538929,train
ISIC_3042182,ISIC_4403411,train
ISIC_3046977,ISIC_3447990,test
ISIC_3062039,ISIC_3734497,train
ISIC_3063649,ISIC_8781281,train
ISIC_3083302,ISIC_8340210,test
ISIC_3086575,ISIC_7577778,train
ISIC_3087433,ISIC_3515230,train
ISIC_3114110,ISIC_3375455,train
ISIC_3136397,ISIC_6793721,train
ISIC_3141912,ISIC_7557922,train
ISIC_3142779,ISIC_5006891,train
ISIC_3170397,ISIC_4627348,train
ISIC_3218501,ISIC_7718526,train
ISIC_3226731,ISIC_4479651,train
ISIC_3228446,ISIC_4024877,train
ISIC_3236964,ISIC_3562579,train
ISIC_3272526,ISIC_3299506,train
ISIC_3275538,ISIC_6658067,train
ISIC_3276396,ISIC_6084895,test
ISIC_3289574,ISIC_3358528,train
ISIC_3355691,ISIC_4112692,train
ISIC_3368733,ISIC_5299304,train
ISIC_3377854,ISIC_6827668,test
ISIC_3385140,ISIC_4053989,train
ISIC_3397468,ISIC_4433244,train
ISIC_3406319,ISIC_5410451,train
ISIC_3406334,ISIC_9787320,train
ISIC_3425831,ISIC_7685852,train
ISIC_3428694,ISIC_6374961,train
ISIC_3434494,ISIC_8080521,train
ISIC_3456673,ISIC_5123837,train
ISIC_3461423,ISIC_4364740,train
ISIC_3508787,ISIC_3597521,test
ISIC_3523476,ISIC_8913110,train
ISIC_3526268,ISIC_3791309,train
ISIC_3552016,ISIC_9055955,train
ISIC_3583880,ISIC_9788955,train
ISIC_3586262,ISIC_5464050,train
ISIC_3588900,ISIC_4535526,test
ISIC_3591045,ISIC_8636706,train
ISIC_3625016,ISIC_7759394,train
ISIC_3638162,ISIC_7967955,train
ISIC_3640401,ISIC_6091765,train
ISIC_3656810,ISIC_5576295,test
ISIC_3659414,ISIC_6250185,test
ISIC_3660136,ISIC_3933828,train
ISIC_3671424,ISIC_7623050,train
ISIC_3686620,ISIC_8118124,train
ISIC_3708522,ISIC_9132088,train
ISIC_3716403,ISIC_8328232,test
ISIC_3737866,ISIC_5516928,train
ISIC_3757997,ISIC_6676883,train
ISIC_3761071,ISIC_9743052,train
ISIC_3796609,ISIC_3945172,test
ISIC_3809013,ISIC_5089423,train
ISIC_3819795,ISIC_7373877,test
ISIC_3844151,ISIC_4199686,train
ISIC_3863610,ISIC_7449104,train
ISIC_3871230,ISIC_6325512,train
ISIC_3882374,ISIC_8722181,train
ISIC_3884657,ISIC_6014626,test
ISIC_3915289,ISIC_8362891,train
ISIC_3927991,ISIC_9104012,train
ISIC_3945730,ISIC_5188723,train
ISIC_3980006,ISIC_9354947,train
ISIC_3998306,ISIC_4452819,train
ISIC_4019458,ISIC_9388406,test
ISIC_4046045,ISIC_6773312,train
ISIC_4050462,ISIC_8021069,train
ISIC_4061347,ISIC_4808024,test
ISIC_4063200,ISIC_8704672,train
ISIC_4064041,ISIC_8646115,train
ISIC_4066013,ISIC_4256214,train
ISIC_4066707,ISIC_8904924,train
ISIC_4071825,ISIC_4219607,train
ISIC_4127065,ISIC_7937250,train
ISIC_4133898,ISIC_9247289,test
ISIC_4138181,ISIC_9687464,train
ISIC_4155168,ISIC_4889721,train
ISIC_4156931,ISIC_9850411,test
ISIC_4159621,ISIC_9071511,train
ISIC_4161718,ISIC_7787763,train
ISIC_4192466,ISIC_7948818,train
ISIC_4219589,ISIC_4457587,train
ISIC_4226395,ISIC_8827615,train
ISIC_4242559,ISIC_7375608,train
ISIC_4247203,ISIC_4967356,test
ISIC_4249243,ISIC_4690191,train
ISIC_4267683,ISIC_6608938,train
ISIC_4294619,ISIC_6946895,test
ISIC_4308112,ISIC_4818658,test
ISIC_4327358,ISIC_8692556,train
ISIC_4343836,ISIC_8747435,train
ISIC_4344995,ISIC_9640245,train
ISIC_4373563,ISIC_6481497,train
ISIC_4389708,ISIC_6927916,train
ISIC_4397871,ISIC_5781274,train
ISIC_4443268,ISIC_7113586,test
ISIC_4495527,ISIC_7548504,test
ISIC_4496665,ISIC_4941646,train
ISIC_4509525,ISIC_9493030,train
ISIC_4511841,ISIC_5920981,train
ISIC_4537621,ISIC_4872245,test
ISIC_4545487,ISIC_8965291,test
ISIC_4556458,ISIC_8776630,train
ISIC_4590786,ISIC_9133072,train
ISIC_4597011,ISIC_4691889,train
ISIC_4608393,ISIC_9578094,train
ISIC_4616221,ISIC_7449219,train
ISIC_4639468,ISIC_9018781,train
ISIC_4695567,ISIC_7948595,train
ISIC_4763017,ISIC_9553194,train
ISIC_4765961,ISIC_8829317,train
ISIC_4794573,ISIC_6875825,train
ISIC_4801098,ISIC_7891771,train
ISIC_4819603,ISIC_6976452,test
ISIC_4829472,ISIC_6204751,test
ISIC_4870936,ISIC_9674173,train
ISIC_4892807,ISIC_5472411,test
ISIC_4897895,ISIC_8490701,train
ISIC_4909229,ISIC_5614711,train
ISIC_4913284,ISIC_6385615,train
ISIC_4978474,ISIC_8407448,train
ISIC_4990272,ISIC_8750817,test
ISIC_5002041,ISIC_8629649,train
ISIC_5006966,ISIC_9931481,test
ISIC_5010197,ISIC_8963367,train
ISIC_5029146,ISIC_6984247,train
ISIC_5099850,ISIC_5176953,test
ISIC_5106545,ISIC_6784756,train
ISIC_5133804,ISIC_9763829,train
ISIC_5144150,ISIC_5520533,train
ISIC_5169650,ISIC_7385195,train
ISIC_5169849,ISIC_8285182,train
ISIC_5170323,ISIC_7480243,train
ISIC_5176105,ISIC_5407936,train
ISIC_5176419,ISIC_6003172,train
ISIC_5193073,ISIC_5872962,test
ISIC_5243831,ISIC_8333875,train
ISIC_5254803,ISIC_5765481,train
ISIC_5261611,ISIC_5470394,train
ISIC_5265808,ISIC_7106452,test
ISIC_5269066,ISIC_9552129,test
ISIC_5299786,ISIC_9147750,train
ISIC_5299821,ISIC_8758359,train
ISIC_5309300,ISIC_5640472,train
ISIC_5327000,ISIC_8559515,train
ISIC_5361965,ISIC_6402957,train
ISIC_5400342,ISIC_9067007,train
ISIC_5440360,ISIC_8558194,train
ISIC_5448850,ISIC_9881235,train
ISIC_5467408,ISIC_8715911,test
ISIC_5468989,ISIC_8789373,train
ISIC_5484086,ISIC_9910480,train
ISIC_5497851,ISIC_7811060,train
ISIC_5501375,ISIC_8560381,train
ISIC_5563844,ISIC_7437431,train
ISIC_5600160,ISIC_7631880,train
ISIC_5607452,ISIC_9952408,train
ISIC_5626944,ISIC_6254045,train
ISIC_5644962,ISIC_8667588,train
ISIC_5667469,ISIC_9279540,train
ISIC_5706663,ISIC_7089905,train
ISIC_5723510,ISIC_7005347,train
ISIC_5735204,ISIC_7036799,test
ISIC_5746049,ISIC_7262158,test
ISIC_5756962,ISIC_7241455,train
ISIC_5778330,ISIC_9854376,train
ISIC_5788972,ISIC_7249001,test
ISIC_5846233,ISIC_5871888,train
ISIC_5866452,ISIC_6850984,test
ISIC_5873539,ISIC_7648129,train
ISIC_5892680,ISIC_8755969,train
ISIC_5922139,ISIC_6740634,train
ISIC_5941314,ISIC_8611845,train
ISIC_5944524,ISIC_8864036,train
ISIC_5995007,ISIC_7194273,test
ISIC_6068452,ISIC_8787826,train
ISIC_6080436,ISIC_8689811,train
ISIC_6091609,ISIC_9417600,train
ISIC_6151153,ISIC_8329627,train
ISIC_6170663,ISIC_8454848,test
ISIC_6174156,ISIC_8896474,train
ISIC_6204417,ISIC_8841833,train
ISIC_6209867,ISIC_7793652,test
ISIC_6248112,ISIC_8253521,test
ISIC_6249626,ISIC_8648368,test
ISIC_6270846,ISIC_7628257,train
ISIC_6275427,ISIC_9535767,test
ISIC_6304412,ISIC_8586909,train
ISIC_6326012,ISIC_7949203,train
ISIC_6352565,ISIC_6584579,train
ISIC_6363173,ISIC_9515321,train
ISIC_6413170,ISIC_8446269,train
ISIC_6456904,ISIC_8200009,test
ISIC_6600424,ISIC_9108776,train
ISIC_6619411,ISIC_7834330,train
ISIC_6668182,ISIC_9075192,test
ISIC_6689310,ISIC_7528783,train
ISIC_6696536,ISIC_6856100,train
ISIC_6717898,ISIC_8562507,test
ISIC_6721280,ISIC_8198814,train
ISIC_6770630,ISIC_9590080,train
ISIC_6954577,ISIC_7986935,train
ISIC_7005958,ISIC_7414621,test
ISIC_7070684,ISIC_9555291,train
ISIC_7079599,ISIC_9038898,train
ISIC_7101810,ISIC_7629997,train
ISIC_7146294,ISIC_7311305,train
ISIC_7266736,ISIC_9847428,train
ISIC_7270127,ISIC_9232173,test
ISIC_7307339,ISIC_8556150,train
ISIC_7319304,ISIC_9083443,train
ISIC_7356589,ISIC_9199965,train
ISIC_7365445,ISIC_7791770,train
ISIC_7384382,ISIC_7486963,train
ISIC_7445800,ISIC_7733258,train
ISIC_7480177,ISIC_8986079,test
ISIC_7495157,ISIC_9106176,train
ISIC_7537233,ISIC_8496078,train
ISIC_7556912,ISIC_9693172,test
ISIC_7611972,ISIC_9622250,train
ISIC_7621067,ISIC_8572337,train
ISIC_7622520,ISIC_9207895,train
ISIC_7638633,ISIC_8530596,train
ISIC_7644150,ISIC_8010113,train
ISIC_7654562,ISIC_8951006,train
ISIC_7677876,ISIC_8428562,train
ISIC_7696218,ISIC_8750635,train
ISIC_7803010,ISIC_7941047,train
ISIC_7928614,ISIC_9726957,train
ISIC_7969552,ISIC_9159718,train
ISIC_7997886,ISIC_9462212,train
ISIC_8009201,ISIC_8691891,train
ISIC_8020166,ISIC_8933605,train
ISIC_8061920,ISIC_8661785,test
ISIC_8117653,ISIC_8797277,train
ISIC_8136949,ISIC_8693637,train
ISIC_8148300,ISIC_8369388,train
ISIC_8160180,ISIC_9275899,train
ISIC_8166745,ISIC_9155599,test
ISIC_8236190,ISIC_9710367,train
ISIC_8343285,ISIC_8401104,train
ISIC_8362154,ISIC_9062432,train
ISIC_8470398,ISIC_9587551,train
ISIC_8603087,ISIC_9126655,train
ISIC_8683473,ISIC_9084283,test
ISIC_8876993,ISIC_9053755,train
ISIC_8879370,ISIC_9596146,train
ISIC_8889856,ISIC_9677697,train
ISIC_8987085,ISIC_9751079,train
ISIC_9008728,ISIC_9982577,test
ISIC_9218360,ISIC_9913406,train
ISIC_9432244,ISIC_9645937,train
ISIC_9640394,ISIC_9846473,test
